"Week";"Status";"GlassID";"treatment"
8;0;"brake_abrasion__0.5__1";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__1";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__1";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__1";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__1";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__1";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__2";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__2";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__2";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__2";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__2";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__2";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__3";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__3";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__3";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__3";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__3";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__3";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__4";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__4";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__4";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__4";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__4";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__4";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__5";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__5";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__5";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__5";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__5";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__5";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__6";"brake_abrasion__0.5"
8;0;"brake_abrasion__0.5__6";"brake_abrasion__0.5"
4;1;"brake_abrasion__0.5__6";"brake_abrasion__0.5"
