"Treatment";"Pollutant";"Sample";"CAT";"GST";"LPO";"Concentration";"GlassID";"treatment"
"B. A. 0.5 Vol.-%";"break_abrasion";"371";10,08085928;4,008607903;50,0974497;"0.5";"37";"break_abrasion__0.5"
"B. A. 0.5 Vol.-%";"break_abrasion";"372";11,7854046;11,71396238;70,68845649;"0.5";"37";"break_abrasion__0.5"
"MP-F. 0.5 Vol.-%";"MP_fibers";"381";7,233743656;20,83029631;32,82257736;"0.5";"38";"MP_fibers__0.5"
"MP-F. 0.5 Vol.-%";"MP_fibers";"382";6,118623003;1,771785025;36,94369422;"0.5";"38";"MP_fibers__0.5"
"MP-F. 0.5 Vol.-%";"MP_fibers";"383";7,515935692;1,108207074;24,49079874;"0.5";"38";"MP_fibers__0.5"
"M. S. 0.5 Vol.-%";"mix";"411";9,833178932;20,18372108;58,72491677;"0.5";"41";"mix__0.5"
"M. S. 0.5 Vol.-%";"mix";"412";17,52610031;19,16656942;48,45601003;"0.5";"41";"mix__0.5"
"MP-F. 0.5 Vol.-%";"MP_fibers";"431";5,55740355;11,16649879;54,45158205;"0.5";"43";"MP_fibers__0.5"
"MP-F. 0.5 Vol.-%";"MP_fibers";"432";13,49477169;1,952498508;36,53594818;"0.5";"43";"MP_fibers__0.5"
"M. S. 0.5 Vol.-%";"mix";"441";12,16673366;3,164464061;82,8395757;"0.5";"44";"mix__0.5"
"M. S. 0.5 Vol.-%";"mix";"442";13,22172949;32,59703709;27,03226322;"0.5";"44";"mix__0.5"
"M. S. 0.5 Vol.-%";"mix";"443";14,21327506;44,01734564;48,34762764;"0.5";"44";"mix__0.5"
"E. P. 2 Vol.-%";"exhaust_particles";"461";15,11222405;21,43568661;44,91396737;"2";"46";"exhaust_particles__2"
"E. P. 2 Vol.-%";"exhaust_particles";"462";13,50305172;38,53337564;42,73146922;"2";"46";"exhaust_particles__2"
"B. A. 0.5 Vol.-%";"break_abrasion";"471";13,1226835;13,77350823;21,50929384;"0.5";"47";"break_abrasion__0.5"
"B. A. 0.5 Vol.-%";"break_abrasion";"472";11,15087495;24,53202564;48,68650889;"0.5";"47";"break_abrasion__0.5"
"MP-F. 0.5 Vol.-%";"MP_fibers";"491";7,55211322;31,64847273;30,24001236;"0.5";"49";"MP_fibers__0.5"
"MP-F. 0.5 Vol.-%";"MP_fibers";"492";8,943259512;3,986348596;54,56615428;"0.5";"49";"MP_fibers__0.5"
"E. P. 0.5 Vol.-%";"exhaust_particles";"501";11,33953431;14,07799847;32,67441437;"0.5";"50";"exhaust_particles__0.5"
"E. P. 0.5 Vol.-%";"exhaust_particles";"502";12,31231858;27,57397517;42,12189142;"0.5";"50";"exhaust_particles__0.5"
"E. P. 0.5 Vol.-%";"exhaust_particles";"503";11,40161992;48,88961798;42,24435439;"0.5";"50";"exhaust_particles__0.5"
"MP-F. 0.5 Vol.-%";"MP_fibers";"511";12,43640652;25,98117549;75,91862706;"0.5";"51";"MP_fibers__0.5"
"MP-F. 0.5 Vol.-%";"MP_fibers";"512";10,99137159;30,35039084;29,52488841;"0.5";"51";"MP_fibers__0.5"
"M. S. 0.5 Vol.-%";"mix";"531";10,00790443;43,11527923;22,19324825;"0.5";"53";"mix__0.5"
"M. S. 0.5 Vol.-%";"mix";"532";11,51051914;49,41492936;57,87267387;"0.5";"53";"mix__0.5"
"M. S. 0.5 Vol.-%";"mix";"533";10,96436104;24,90878176;35,67408079;"0.5";"53";"mix__0.5"
"E. P. 0.5 Vol.-%";"exhaust_particles";"551";10,70616583;9,720168166;52,46195264;"0.5";"55";"exhaust_particles__0.5"
"E. P. 0.5 Vol.-%";"exhaust_particles";"552";9,813794636;10,72747739;82,18307755;"0.5";"55";"exhaust_particles__0.5"
"E. P. 0.5 Vol.-%";"exhaust_particles";"553";9,335026806;13,77727322;29,78469989;"0.5";"55";"exhaust_particles__0.5"
"E. P. 2 Vol.-%";"exhaust_particles";"581";12,32426501;49,14244725;113,8421741;"2";"58";"exhaust_particles__2"
"E. P. 2 Vol.-%";"exhaust_particles";"582";5,815447293;43,22548575;40,5350843;"2";"58";"exhaust_particles__2"
"E. P. 2 Vol.-%";"exhaust_particles";"583";6,360356074;3,364122657;27,74366923;"2";"58";"exhaust_particles__2"
"M. S. 2 Vol.-%";"mix";"611";7,350635272;-6,975482706;73,31145127;"2";"61";"mix__2"
"M. S. 2 Vol.-%";"mix";"612";5,530376347;15,22238018;50,67088374;"2";"61";"mix__2"
"M. S. 2 Vol.-%";"mix";"613";9,267710753;13,3516916;44,01641895;"2";"61";"mix__2"
"M. S. 0.5 Vol.-%";"mix";"621";9,499351642;25,934227;32,37640796;"0.5";"62";"mix__0.5"
"M. S. 0.5 Vol.-%";"mix";"622";8,219134813;8,610631286;48,95447401;"0.5";"62";"mix__0.5"
"M. S. 0.5 Vol.-%";"mix";"623";12,02998711;4,056241361;79,82413132;"0.5";"62";"mix__0.5"
"MP-P. 0.5 Vol.-%";"MP_particles";"631";9,261496729;-2,271387704;21,90854681;"0.5";"63";"MP_particles__0.5"
"MP-P. 0.5 Vol.-%";"MP_particles";"632";11,22672155;17,4262045;42,16821121;"0.5";"63";"MP_particles__0.5"
"MP-P. 0.5 Vol.-%";"MP_particles";"633";7,689295587;9,354767011;22,00972155;"0.5";"63";"MP_particles__0.5"
"E. P. 2 Vol.-%";"exhaust_particles";"641";10,38167084;11,8858535;50,23129524;"2";"64";"exhaust_particles__2"
"E. P. 2 Vol.-%";"exhaust_particles";"642";5,970528258;10,10486351;50,42369308;"2";"64";"exhaust_particles__2"
"E. P. 2 Vol.-%";"exhaust_particles";"643";10,44485279;17,12808903;22,54722813;"2";"64";"exhaust_particles__2"
